"X"	"N.GD1"	"N.GD2"	"N.GD3"	"N.GD4"	"N.GD5"	"T.GD1"	"T.GD2"	"T.GD3"	"T.GD4"	"T.GD5"	"N.GX1"	"N.GX2"	"N.GX3"	"N.GX4"	"N.GX5"	"T.GX1"	"T.GX2"	"T.GX3"	"T.GX4"	"T.GX5"
"ENSG0001"	651.2767	779.134	610.2006	462.5733	646.3933	212.3474	361.4496	344.2908	249.2474	404.4705	820.6379	686.5601	661.3583	598.0273	778.134	331.0933	318.899	380.3224	256.8138	359.4496
"ENSG0002"	109.3259	90.5029	121.9745	135.7555	120.1212	100.2906	94.4312	101.1539	88.6888	80.5298	113.0079	114.6932	118.7943	122.7157	89.5029	100.6733	72.8508	85.1964	80.9101	92.4312
"ENSG0003"	80.6287	69.5727	87.5528	45.1127	66.4048	10.9051	14.354	20.693	14.3418	10.9877	55.9658	80.4438	36.5111	45.0856	68.5727	14.0344	10.5041	26.6979	12.5248	12.354
"ENSG0004"	7.3395	7.3325	7.2697	6.4194	8.5815	8.6557	11.1947	9.8837	9.4283	7.4753	6.7255	6.4597	5.5219	6.4675	6.3325	11.1916	8.1096	8.6952	8.3825	9.1947
"ENSG0005"	50.2741	47.2587	31.4087	39.0856	50.0841	88.7184	136.5762	72.9094	99.1368	111.9974	34.4052	37.3857	33.3616	42.9594	46.2587	74.5685	107.1062	80.1001	111.0517	134.5762
"ENSG0006"	8.5917	8.2437	7.9099	7.0142	7.5238	6.6141	9.3059	6.2345	7.0411	7.1369	6.9915	8.1845	7.6436	7.5177	7.2437	7.016	6.5288	5.6905	7.1289	7.3059
"ENSG0007"	8.421	9.0838	7.9709	8.3985	8.1318	6.9983	8.7281	5.87	6.1857	5.7261	7.6184	7.3369	6.732	8.1603	8.0838	6.5538	7.2848	6.9707	6.6076	6.7281
"ENSG0008"	2240.2839	2398.8449	2777.0224	2389.6023	2818.4091	303.9669	724.5974	1478.4856	856.4026	686.4735	2550.8774	1845.9853	2224.3932	1917.3104	2397.8449	662.7448	92.4378	1660.3225	589.9192	722.5974
"ENSG0009"	7.1027	7.5923	6.6819	6.9094	6.9704	5.9174	7.7535	5.6229	6.8692	6.0452	6.4549	6.1893	6.8939	7.0641	6.5923	6.477	5.8119	5.4898	6.0408	5.7535
"ENSG0010"	130.7596	227.341	161.3051	157.0624	180.4362	106.5152	100.9324	96.3793	86.7474	169.7212	242.1711	193.4074	202.9474	208.4474	226.341	103.0873	111.2974	119.2285	72.0682	98.9324
"ENSG0011"	542.6138	586.0313	573.6921	581.039	547.9331	336.4936	344.291	479.3503	332.2871	385.8424	642.3577	593.4351	519.8767	549.1741	585.0313	424.0273	362.6339	460.9321	342.9937	342.291
"ENSG0012"	56.8946	62.6945	60.9272	68.7057	56.493	54.9794	38.5413	43.2929	40.4783	40.1119	61.0566	58.5305	72.3936	50.5514	61.6945	30.798	50.0323	38.9553	56.1792	36.5413
"ENSG0013"	7.1439	7.8194	7.0671	8.022	7.8812	7.0225	8.7936	6.9182	6.5351	6.1908	7.1223	7.8154	7.1056	8.0532	6.8194	5.8233	6.0316	6.4929	6.542	6.7936
"ENSG0014"	808.4116	984.7925	853.112	723.8311	658.2878	300.3511	452.6474	503.5228	559.8298	517.4223	803.1209	807.835	810.0043	844.3278	983.7925	526.046	439.8878	578.8695	504.3474	450.6474
"ENSG0015"	57.7844	67.5342	80.2305	70.8569	85.9474	58.5252	51.7144	57.1262	53.4862	46.8658	76.0933	71.0974	76.9474	68.4184	66.5342	59.4479	66.7485	57.7844	48.4035	49.7144
"ENSG0016"	781.171	1133.5304	1007.7548	1214.1367	1002.4707	1356.7038	1346.1247	1310.2326	1493.7705	1356.9982	1218.9373	1118.6765	1209.0253	1206.0326	1132.5304	1316.2	1701.5051	1776.8827	1552.4636	1344.1247
"ENSG0017"	6.2754	7.9058	7.8844	7.6565	7.391	8.9091	9.4552	10.8383	8.1125	9.8659	6.6869	7.4773	7.2493	7.6798	6.9058	8.3256	9.509	8.9586	8.8212	7.4552
"ENSG0018"	5.2453	6.1308	5.2992	4.838	4.9021	5.6546	7.2222	5.2992	5.6952	4.8931	4.8152	4.992	4.7791	4.9109	5.1308	5.534	5.2671	5.7274	5.2367	5.2222
"ENSG0019"	117.7153	193.0983	125.3865	132.6761	85.0494	70.3474	63.8397	77.4535	81.3974	49.5679	155.553	178.3636	187.0464	158.2567	192.0983	46.9562	50.0828	81.4638	92.3109	61.8397
"ENSG0020"	841.1375	864.6486	847.9602	650.7974	639.5406	379.8377	444.9505	474.4117	593.849	462.7908	775.9642	655.0876	782.382	705.786	863.6486	482.3241	428.2503	584.4372	475.3056	442.9505
"ENSG0021"	11.5201	12.9473	11.2171	12.3897	14.2008	10.6277	12.2788	9.9322	8.8161	10.3291	10.6905	13.7429	11.1402	11.7716	11.9473	10.5655	10.8633	11.3932	10.1967	10.2788
"ENSG0022"	8.8699	10.9166	8.7875	9.8677	11.6121	18.3274	17.8754	15.022	16.1283	11.641	9.8369	11.9575	6.6141	9.2324	9.9166	18.3241	13.8877	15.2093	12.8444	15.8754
"ENSG0023"	42.0401	45.8518	39.2944	38.9443	38.3886	46.459	54.6546	47.0071	51.8503	73.1955	32.926	41.9338	33.3258	40.7341	44.8518	55.9512	50.3203	70.8251	66.4475	52.6546
"ENSG0024"	576.3709	598.0322	488.1443	519.3474	446.54	219.0412	323.9813	354.5909	321.4439	309.7745	476.6595	518.5166	477.5115	610.3718	597.0322	323.3737	135.6335	391.966	228.847	321.9813
"ENSG0025"	32.6479	27.7622	30.802	31.7777	30.1041	27.6818	25.839	24.1133	24.7357	26.0062	30.142	30.0303	27.6685	27.5493	26.7622	26.0575	27.6391	25.7336	25.8414	23.839
"ENSG0026"	710.975	691.8466	647.6662	483.552	861.5772	243.5416	359.3149	273.6766	198.8264	189.1038	587.1771	985.5718	719.8929	887.1869	690.8466	587.8082	607.5592	337.1441	537.4689	357.3149
"ENSG0027"	95.6474	117.235	88.9861	107.7588	90.1879	70.1578	45.3682	65.7899	71.273	70.0743	80.8576	72.2889	96.9495	107.1348	116.235	58.1046	80.1837	48.3621	31.7404	43.3682
"ENSG0028"	77.2716	70.6974	55.1488	105.2109	105.7775	146.6147	195.5811	198.1763	133.1166	149.0454	50.254	67.4365	90.6974	67.7588	69.6974	138.8142	158.1289	117.6778	123.1641	193.5811
"ENSG0029"	6.6545	7.9902	7.4453	9.3482	8.217	6.2497	7.6906	6.0749	7.2216	5.8191	7.088	6.8552	6.6631	7.6224	6.9902	5.8706	6.156	5.838	6.5762	5.6906
"ENSG0030"	283.8665	312.382	278.135	482.0636	303.0968	607.5054	539.1474	547.3922	877.3768	729.5825	273.2489	329.4974	362.9096	355.3679	311.382	592.9821	920.5685	515.9459	749.6101	537.1474
